experience,education,job_role,hours_per_week,salary_category
1,High School,Clerk,40,Low Salary
2,Bachelor,Developer,45,Medium Salary
5,Master,Manager,50,High Salary
3,Bachelor,Developer,40,Medium Salary
7,Master,Manager,55,High Salary
1,High School,Clerk,35,Low Salary
4,Bachelor,Developer,42,Medium Salary
8,PhD,Director,60,High Salary
2,Bachelor,Clerk,40,Low Salary
6,Master,Manager,50,High Salary
5,Bachelor,Developer,45,Medium Salary
9,PhD,Director,60,High Salary
1,High School,Clerk,30,Low Salary
3,Bachelor,Developer,40,Medium Salary
7,Master,Director,55,High Salary